user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
1695,179,3,186.92,4,2,4,424,Потенциальные лоялисты
3451,280,3,186.96,3,3,4,334,Обычные клиенты
1884,281,6,187.03,3,5,4,354,Обычные клиенты
2684,81,4,187.24,5,4,4,544,Лояльные клиенты
1462,422,5,187.32,1,4,4,144,Нельзя потерять
4055,389,5,187.4,1,4,4,144,Нельзя потерять
1240,160,4,187.51,4,4,4,444,Лояльные клиенты
113,283,1,187.72,3,1,4,314,Засыпающие
2764,32,4,188.4,5,3,4,534,Потенциальные лоялисты
1925,356,2,188.53,2,2,4,224,Засыпающие
2392,46,3,188.63,5,2,4,524,Потенциальные лоялисты
2252,208,4,188.86,4,4,4,444,Лояльные клиенты
3999,259,7,189.13,3,5,4,354,Обычные клиенты
2406,193,6,189.13,4,5,4,454,Лояльные клиенты
1340,180,3,189.37,4,2,4,424,Потенциальные лоялисты
4463,126,4,189.53,5,3,4,534,Потенциальные лоялисты
2284,112,4,189.54,5,3,4,534,Потенциальные лоялисты
1411,176,3,189.58,4,2,4,424,Потенциальные лоялисты
1190,449,3,189.64,1,2,4,124,Обычные клиенты
4982,180,4,189.71,4,4,4,444,Лояльные клиенты
2863,77,3,189.94,5,3,4,534,Потенциальные лоялисты
1697,233,4,189.98,3,3,4,334,Обычные клиенты
2221,78,3,190.2,5,3,4,534,Потенциальные лоялисты
4103,264,4,190.35,3,4,4,344,Обычные клиенты
1277,342,3,190.46,2,2,4,224,Засыпающие
3058,296,3,190.48,3,3,4,334,Обычные клиенты
2889,232,3,190.54,3,3,4,334,Обычные клиенты
943,448,3,190.57,1,2,4,124,Обычные клиенты
1913,199,5,190.71,4,4,4,444,Лояльные клиенты
1969,274,4,190.97,3,4,4,344,Обычные клиенты
472,476,3,190.98,1,3,4,134,Обычные клиенты
1323,76,4,191.05,5,4,4,544,Лояльные клиенты
4701,233,3,191.05,3,3,4,334,Обычные клиенты
2589,303,3,191.77,2,2,4,224,Засыпающие
3632,270,4,191.78,3,4,4,344,Обычные клиенты
1755,433,4,191.89,1,4,4,144,Нельзя потерять
970,381,4,191.99,1,4,4,144,Нельзя потерять
1511,340,7,192.2,2,5,4,254,Нельзя потерять
4610,273,6,192.44,3,5,4,354,Обычные клиенты
